ecg,emg_cheekbone,ksr,emg_nose,pulse
2.0392158,2.0392158,2.0392158,2.49019599,1.7647059
1.66666663,1.66666663,1.66666663,2.47058821,1.74509799
1.84313726,1.84313726,1.84313726,2.45098042,1.74509799
2.25490189,2.25490189,2.25490189,2.41176462,1.72549021
2.80392146,2.80392146,2.80392146,2.39215684,1.72549021
2.62745094,2.62745094,2.62745094,2.41176462,1.70588231
2.07843137,2.07843137,2.07843137,2.43137264,1.68627453
2.01960778,2.01960778,2.01960778,2.50980401,1.66666663
2.29411769,2.29411769,2.29411769,2.52941179,1.64705884
2.54901958,2.54901958,2.54901958,2.52941179,1.64705884
2.74509811,2.74509811,2.74509811,2.47058821,1.62745094
2.56862736,2.56862736,2.56862736,2.45098042,1.62745094
2.41176462,2.41176462,2.41176462,2.49019599,1.60784316
1.82352936,1.82352936,1.82352936,2.49019599,1.60784316
2.09803915,2.09803915,2.09803915,2.52941179,1.60784316
2.29411769,2.29411769,2.29411769,2.54901958,1.60784316
2.90196085,2.90196085,2.90196085,2.49019599,1.58823526
2.90196085,2.90196085,2.90196085,2.45098042,1.56862748
2.72549009,2.72549009,2.72549009,2.41176462,1.54901958
2.25490189,2.25490189,2.25490189,2.39215684,1.54901958
1.90196073,1.90196073,1.90196073,2.52941179,1.54901958
2.37254906,2.37254906,2.37254906,2.58823538,1.54901958
2.64705873,2.64705873,2.64705873,2.54901958,1.52941179
2.94117641,2.94117641,2.94117641,2.49019599,1.52941179
3.2352941,3.2352941,3.2352941,2.43137264,1.50980389
2.74509811,2.74509811,2.74509811,2.41176462,1.49019611
2.01960778,2.01960778,2.01960778,2.43137264,1.49019611
1.68627453,1.68627453,1.68627453,2.45098042,1.49019611
2.09803915,2.09803915,2.09803915,2.43137264,1.49019611
2.45098042,2.45098042,2.45098042,2.41176462,1.49019611
2.9607842,2.9607842,2.9607842,2.33333325,1.45098042
2.86274505,2.86274505,2.86274505,2.33333325,1.45098042
2.47058821,2.47058821,2.47058821,2.37254906,1.47058821
1.9803921,1.9803921,1.9803921,2.39215684,1.47058821
1.94117641,1.94117641,1.94117641,2.47058821,1.45098042
1.92156863,1.92156863,1.92156863,2.49019599,1.43137252
2.82352948,2.82352948,2.82352948,2.50980401,1.45098042
3.01960778,3.01960778,3.01960778,2.45098042,1.45098042
2.92156863,2.92156863,2.92156863,2.37254906,1.45098042
2.52941179,2.52941179,2.52941179,2.37254906,1.43137252
2.11764717,2.11764717,2.11764717,2.45098042,1.43137252
2.31372547,2.31372547,2.31372547,2.39215684,1.45098042
2.45098042,2.45098042,2.45098042,2.35294127,1.45098042
2.88235283,2.88235283,2.88235283,2.35294127,1.43137252
2.9607842,2.9607842,2.9607842,2.41176462,1.43137252
2.31372547,2.31372547,2.31372547,2.49019599,1.43137252
2.35294127,2.35294127,2.35294127,2.52941179,1.43137252
2.45098042,2.45098042,2.45098042,2.50980401,1.43137252
2.78431368,2.78431368,2.78431368,2.49019599,1.43137252
3.15686274,3.15686274,3.15686274,2.45098042,1.43137252
2.92156863,2.92156863,2.92156863,2.45098042,1.43137252
